"SegmentName","KPI","size_treatment","size_control","mean_treatment","mean_control","rel_effect","confidence_interval","pValue","Significant"
"co_Major Contributor - Medium Margin","PassCanc_perAccepted",994,1047,0.0807075418041178,0.076156189421213,0.0597633943806165,"(-0.007 ; 0.016)",0.432,"NO"
"co_Major Contributor - Medium Margin","driver_earning",994,1047,120242.44668008,113442.561604585,0.0599412158833088,"(-6951.935 ; 20551.705)",0.332,"NO"
"co_Major Contributor - Medium Margin","supply_hours",994,1047,531.253521126761,498.456542502388,0.0657970672021337,"(-16.403 ; 81.997)",0.191,"NO"
"co_Major Contributor - Medium Margin","utilisation",994,1047,1.12590207265394,1.06658345640129,0.0556155412843146,"(-0.031 ; 0.15)",0.199,"NO"
"co_Major Contributor - Medium Margin","rides",994,1047,12.0271629778672,11.8882521489971,0.0116847142144261,"(-1.287 ; 1.565)",0.848,"NO"
"co_Major Contributor - Medium Margin","time_to_accept",994,1047,16.8376089351202,13.1534544033308,0.280090265174487,"(2.499 ; 4.869)",0,"YES"
"co_Major Contributor - Medium Margin","time_to_reject",994,1047,23.0231533729861,11.0106377956327,1.09099180268359,"(6.467 ; 17.558)",0,"YES"
"co_Major Contributor - Medium Margin","accepted",994,1047,17.6881287726358,17.2445081184336,0.0257253295458155,"(-1.534 ; 2.421)",0.66,"NO"
"co_Major Contributor - Medium Margin","rejected",994,1047,108.185110663984,130.127984718243,-0.168625327609354,"(-43.105 ; -0.781)",0.042,"YES"
"co_Major Contributor - Medium Margin","ignored",994,1047,117.275653923541,138.424068767908,-0.152779896101927,"(-40.675 ; -1.622)",0.034,"YES"
"co_Major Contributor - Medium Margin","broadcasts",994,1047,243.148893360161,285.796561604585,-0.149223867512546,"(-75.914 ; -9.381)",0.012,"YES"
"co_Major Contributor - Medium Margin","drac_score_avg",994,1047,85.3520061764397,85.529185069093,-0.00207156063173323,"(-16.355 ; 16.001)",0.983,"NO"
"co_Major Contributor - Medium Margin","driver_aborts",994,1047,1.61368209255533,1.60840496657116,0.00328096847115942,"(-0.263 ; 0.274)",0.969,"NO"
"co_Major Contributor - Medium Margin","pax_can",994,1047,1.42756539235412,1.31327602674308,0.0870261569416499,"(-0.084 ; 0.313)",0.259,"NO"
"co_Major Contributor - Medium Margin","rides_surge",994,1047,2.72535211267606,2.76408787010506,-0.0140139385031683,"(-0.435 ; 0.358)",0.848,"NO"
"co_","Utilisation_weighted",210,1321,0.551153425681192,0.508927546546064,0.0829703155620136,"(-0.109 ; 0.194)",0.583,"NO"
"co_","AccR",210,1321,0.120501546979319,0.0928166812173878,0.298274678633362,"(-0.005 ; 0.06)",0.093,"NO"
"co_","RejR",210,1321,0.294360310481463,0.258329441861409,0.139476431181948,"(-0.127 ; 0.199)",0.664,"NO"
